GL_ID,date,year,month,LST_Day_C,LST_Night_C,LST_Scan_Count
GL083136E28666N,2015-01,2015,1,-4.614964714402351,-16.747144409004733,4
GL083136E28666N,2015-02,2015,2,-1.398153053205722,-14.89792261822213,4
GL083136E28666N,2015-03,2015,3,1.6660495539222795,-12.016232838718595,4
GL083136E28666N,2015-04,2015,4,5.401089847301217,-7.948097967611183,3
GL083136E28666N,2015-05,2015,5,14.837180233901936,-3.1738247122451524,4
GL083136E28666N,2015-06,2015,6,14.599492056888426,-1.4593411300636097,4
GL083136E28666N,2015-07,2015,7,16.488208755142637,-3.729269403226526,4
GL083136E28666N,2015-08,2015,8,12.45595355860647,0.0183206212730846,4
GL083136E28666N,2015-09,2015,9,17.254833818702938,-0.2036999799688471,4
GL083136E28666N,2015-10,2015,10,17.143329635279457,-4.939369944066907,3
GL083136E28666N,2015-11,2015,11,10.972214209772131,-7.964780659178077,4
GL083136E28666N,2015-12,2015,12,9.400073267692903,-9.40599130957331,4
GL083136E28666N,2016-01,2016,1,7.006847640179384,-13.551477603661043,4
GL083136E28666N,2016-02,2016,2,11.577924698377505,-9.309223716852314,4
GL083136E28666N,2016-03,2016,3,13.944062081079869,-7.5957285166181,4
GL083136E28666N,2016-04,2016,4,21.723138029861804,-5.339341977534295,4
GL083136E28666N,2016-05,2016,5,13.59770427895656,-2.6207336014422147,3
GL083136E28666N,2016-06,2016,6,10.815023575093631,-0.3767808440807738,4
GL083136E28666N,2016-07,2016,7,3.657069138199383,-5.008251976147525,4
GL083136E28666N,2016-08,2016,8,11.798924097443743,-0.3474080494306256,4
GL083136E28666N,2016-09,2016,9,14.188547589331144,0.0549431424213301,4
GL083136E28666N,2016-10,2016,10,14.748539268709862,-4.368726251560091,4
GL083136E28666N,2016-11,2016,11,16.0002084777886,-5.392254272022654,3
GL083136E28666N,2016-12,2016,12,13.715542689409729,-5.864361623445637,4
GL083136E28666N,2017-01,2017,1,4.514736513659715,-15.019333425784646,4
GL083136E28666N,2017-02,2017,2,11.371520593537678,-9.845349003836706,4
GL083136E28666N,2017-03,2017,3,6.330402394489925,-9.920314103453032,4
GL083136E28666N,2017-04,2017,4,13.36105594847381,-6.351910969352349,3
GL083136E28666N,2017-05,2017,5,9.996839550686484,-3.188303055517007,4
GL083136E28666N,2017-06,2017,6,14.963425784680842,-0.2494224102066002,4
GL083136E28666N,2017-07,2017,7,3.66270818539036,-2.1209896916747284,4
GL083136E28666N,2017-08,2017,8,3.047919998767344,-1.5432498959922063,4
GL083136E28666N,2017-09,2017,9,14.91567535709336,0.9994949845144268,4
GL083136E28666N,2017-10,2017,10,18.748684725496567,-4.025111480916472,3
GL083136E28666N,2017-11,2017,11,11.009960477048985,-7.954841445939055,4
GL083136E28666N,2017-12,2017,12,10.252182082928885,-9.624518328479612,4
GL083136E28666N,2018-01,2018,1,11.381488697822798,-8.424908473165965,4
GL083136E28666N,2018-02,2018,2,7.069476031988187,-11.002763601904464,4
