GL_ID,date,year,month,GPM_Precipitation_mm,GPM_Scan_Count
GL083136E28666N,2015-01,2015,1,51.75162071795997,1488
GL083136E28666N,2015-02,2015,2,29.981926129131413,1344
GL083136E28666N,2015-03,2015,3,51.96649878005292,1488
GL083136E28666N,2015-04,2015,4,75.27081553396064,1440
GL083136E28666N,2015-05,2015,5,62.20380303675944,1488
GL083136E28666N,2015-06,2015,6,191.70782529233333,1440
GL083136E28666N,2015-07,2015,7,315.72270643531635,1488
GL083136E28666N,2015-08,2015,8,352.0313869945296,1488
GL083136E28666N,2015-09,2015,9,117.40936947985348,1440
GL083136E28666N,2015-10,2015,10,31.05342588338592,1488
GL083136E28666N,2015-11,2015,11,3.401158469314573,1440
GL083136E28666N,2015-12,2015,12,1.201426804278659,1488
GL083136E28666N,2016-01,2016,1,14.89763385033598,1488
GL083136E28666N,2016-02,2016,2,12.560444833494994,1392
GL083136E28666N,2016-03,2016,3,25.786670160866,1488
GL083136E28666N,2016-04,2016,4,14.492768010181353,1440
GL083136E28666N,2016-05,2016,5,114.04488802412752,1488
GL083136E28666N,2016-06,2016,6,237.1682194453982,1440
GL083136E28666N,2016-07,2016,7,567.1883127436315,1488
GL083136E28666N,2016-08,2016,8,225.19425817064536,1488
GL083136E28666N,2016-09,2016,9,262.4722630637584,1440
GL083136E28666N,2016-10,2016,10,69.62448016621127,1488
GL083136E28666N,2016-11,2016,11,3.311841387595561,1440
GL083136E28666N,2016-12,2016,12,6.296804717452288,1488
GL083136E28666N,2017-01,2017,1,17.937694530968166,1488
GL083136E28666N,2017-02,2017,2,6.6057558997715935,1344
GL083136E28666N,2017-03,2017,3,58.946169407061504,1488
GL083136E28666N,2017-04,2017,4,91.71086979000944,1440
GL083136E28666N,2017-05,2017,5,81.3285229058777,1488
GL083136E28666N,2017-06,2017,6,228.7770245092944,1440
GL083136E28666N,2017-07,2017,7,397.0025950896599,1488
GL083136E28666N,2017-08,2017,8,379.7807605665223,1488
GL083136E28666N,2017-09,2017,9,184.4034354316366,1440
GL083136E28666N,2017-10,2017,10,40.935480802354014,1488
GL083136E28666N,2017-11,2017,11,2.977146258326417,1440
GL083136E28666N,2017-12,2017,12,8.499146108367912,1488
GL083136E28666N,2018-01,2018,1,7.464170581365866,1488
GL083136E28666N,2018-02,2018,2,10.48215204695376,1344
GL083136E28666N,2018-03,2018,3,22.68235920733068,1488
GL083136E28666N,2018-04,2018,4,91.36102253066876,1440
GL083136E28666N,2018-05,2018,5,126.61389941540432,1488
GL083136E28666N,2018-06,2018,6,135.67228993930195,1440
GL083136E28666N,2018-07,2018,7,412.2911903082575,1488
GL083136E28666N,2018-08,2018,8,590.4593415198643,1488
GL083136E28666N,2018-09,2018,9,92.24483925158655,1440
GL083136E28666N,2018-10,2018,10,32.568255359568155,1488
GL083136E28666N,2018-11,2018,11,3.856188911246136,1440
GL083136E28666N,2018-12,2018,12,3.025231627514586,1488
GL083136E28666N,2019-01,2019,1,36.54194456765928,1488
GL083136E28666N,2019-02,2019,2,106.17880900960596,1344
GL083136E28666N,2019-03,2019,3,28.66999325555999,1488
GL083136E28666N,2019-04,2019,4,86.88238820715286,1440
GL083136E28666N,2019-05,2019,5,70.10539501122904,1488
GL083136E28666N,2019-06,2019,6,119.55425285783072,1440
GL083136E28666N,2019-07,2019,7,325.70421185937323,1488
GL083136E28666N,2019-08,2019,8,289.4382381057253,1488
GL083136E28666N,2019-09,2019,9,225.88011092133817,1440
GL083136E28666N,2019-10,2019,10,5.325816931486948,1488
GL083136E28666N,2019-11,2019,11,14.383213145277894,1440
GL083136E28666N,2019-12,2019,12,45.74346271692208,1488
GL083136E28666N,2020-01,2020,1,10.38688388000038,1488
GL083136E28666N,2020-02,2020,2,24.02266367106903,1392
GL083136E28666N,2020-03,2020,3,47.757071800087004,1488
GL083136E28666N,2020-04,2020,4,85.54682790792388,1440
GL083136E28666N,2020-05,2020,5,71.65675438720187,1488
GL083136E28666N,2020-06,2020,6,301.6451396322809,1440
GL083136E28666N,2020-07,2020,7,302.81931586754393,1488
GL083136E28666N,2020-08,2020,8,376.70762352666975,1488
GL083136E28666N,2020-09,2020,9,212.8419041256648,1440
GL083136E28666N,2020-10,2020,10,23.503426284835925,1488
GL083136E28666N,2020-11,2020,11,4.087615739449109,1440
GL083136E28666N,2020-12,2020,12,2.521987716457238,1488
GL083136E28666N,2021-01,2021,1,5.743066893265833,1488
GL083136E28666N,2021-02,2021,2,18.80515791851709,1344
GL083136E28666N,2021-03,2021,3,37.60089544026272,1488
GL083136E28666N,2021-04,2021,4,30.04686507892726,1440
