GL_ID,date,year,month,ERA5_temp_K,ERA5_temp_C
GL083136E28666N,2015-01,2015,1,258.5461801098239,-14.603819890176055
GL083136E28666N,2015-02,2015,2,261.3108254387265,-11.839174561273468
GL083136E28666N,2015-03,2015,3,263.32846383125553,-9.821536168744444
GL083136E28666N,2015-04,2015,4,267.05700829823815,-6.092991701761832
GL083136E28666N,2015-05,2015,5,272.09109006902224,-1.058909930977734
GL083136E28666N,2015-06,2015,6,276.22438954247366,3.074389542473682
GL083136E28666N,2015-07,2015,7,278.88014317584293,5.730143175842954
GL083136E28666N,2015-08,2015,8,278.6660422868626,5.516042286862614
GL083136E28666N,2015-09,2015,9,276.85714344448513,3.7071434444851543
GL083136E28666N,2015-10,2015,10,271.44256177512545,-1.7074382248745223
GL083136E28666N,2015-11,2015,11,269.1862234539456,-3.9637765460544183
GL083136E28666N,2015-12,2015,12,265.7114922513244,-7.43850774867559
GL083136E28666N,2016-01,2016,1,262.03886729414745,-11.111132705852526
GL083136E28666N,2016-02,2016,2,263.5945575100252,-9.55544248997478
GL083136E28666N,2016-03,2016,3,265.49338084395214,-7.656619156047839
GL083136E28666N,2016-04,2016,4,270.5800835927328,-2.5699164072672147
GL083136E28666N,2016-05,2016,5,273.65031812524285,0.5003181252428703
GL083136E28666N,2016-06,2016,6,278.1614584392971,5.011458439297144
GL083136E28666N,2016-07,2016,7,278.8390445299046,5.689044529904606
GL083136E28666N,2016-08,2016,8,278.4751431865077,5.325143186507717
GL083136E28666N,2016-09,2016,9,277.0791484620836,3.929148462083617
GL083136E28666N,2016-10,2016,10,273.0654123983076,-0.0845876016924194
GL083136E28666N,2016-11,2016,11,269.44729035695394,-3.7027096430460342
GL083136E28666N,2016-12,2016,12,269.189983388429,-3.96001661157095
GL083136E28666N,2017-01,2017,1,259.6185820384692,-13.531417961530792
GL083136E28666N,2017-02,2017,2,263.84846868969146,-9.30153131030852
GL083136E28666N,2017-03,2017,3,263.7117280447355,-9.438271955264495
GL083136E28666N,2017-04,2017,4,269.81380248599584,-3.336197514004141
GL083136E28666N,2017-05,2017,5,273.08266044944844,-0.0673395505515372
GL083136E28666N,2017-06,2017,6,277.3052642610338,4.155264261033835
GL083136E28666N,2017-07,2017,7,279.0151461324384,5.86514613243844
GL083136E28666N,2017-08,2017,8,279.170815314016,6.020815314016033
GL083136E28666N,2017-09,2017,9,277.23631125556096,4.086311255560986
GL083136E28666N,2017-10,2017,10,273.2222468673542,0.072246867354238
GL083136E28666N,2017-11,2017,11,267.71795535617406,-5.432044643825918
GL083136E28666N,2017-12,2017,12,264.6146370262228,-8.535362973777183
GL083136E28666N,2018-01,2018,1,265.2175660492272,-7.932433950772804
GL083136E28666N,2018-02,2018,2,262.9400223550342,-10.20997764496576
GL083136E28666N,2018-03,2018,3,264.69671657521235,-8.453283424787628
GL083136E28666N,2018-04,2018,4,269.3214525222778,-3.828547477722168
GL083136E28666N,2018-05,2018,5,273.3269935936056,0.1769935936056299
GL083136E28666N,2018-06,2018,6,277.945452647739,4.795452647739012
